task_type,task_id,participant_id,experience,elapsed_seconds,actions,termination,vh_verified,notes
state_change_task,test_task17,,,,,,,
state_change_task,test_task19,,,,,,,
state_change_task,test_task9,,,,,,,
state_change_task,test_task231,,,,,,,
state_change_task,test_task37,,,,,,,
state_change_task,test_task55,,,,,,,
state_change_task,test_task222,,,,,,,
state_change_task,test_task305,,,,,,,
state_change_task,test_task25,,,,,,,
state_change_task,test_task250,,,,,,,
state_change_task,test_task133,,,,,,,
state_change_task,test_task121,,,,,,,
placement_task,test_task83,,,,,,,
placement_task,test_task9,,,,,,,
placement_task,test_task31,,,,,,,
placement_task,test_task47,,,,,,,
placement_task,test_task71,,,,,,,
placement_task,test_task89,,,,,,,
placement_task,test_task75,,,,,,,
placement_task,test_task36,,,,,,,
placement_task,test_task67,,,,,,,
placement_task,test_task97,,,,,,,
placement_task,test_task13,,,,,,,
placement_task,test_task17,,,,,,,
