path,step2_sha256,step3_sha256,status
Paper/main.tex,97862c99b8a880474753cd8772df3e308898f2c0cdad48ca3ee795966b47a62f,3421a2a0e60e945e8b6f1b4da1d3e1d8c99ddc48905b3de680b637a9e10da2c6,revised_manuscript
Paper/sec3.tex,7e12bcf2879a651ea0d0f0d12e4599a3e8f547a8dc05c0de48ff433ca6b92f04,4ca2872bb8eec9e14c14b223f7a53251c335b797930dee5b54fd41a48916f763,revised_manuscript
Paper/sec4.tex,aa298a2bec144a41763205208da083ea122502396207984cc0b768ab6f94be1e,854b2451786db377e6e7f4accbd24830de92ba120a2ce423b6f761c726634592,revised_manuscript
Paper/sec5.tex,79aee1e6a5617d625c079aa874c7b96bc0d8009506ef670cbda776c2d65eee23,ea6a46cd775795698f21cce2c93e21e696fa290195a04fdab95efd64ce3620ec,revised_manuscript
Paper/appendix-implementation.tex,,95cc351096f048be387bcd8993651e0bcd94ab6605128414ccbe00d22daeea77,new_documentation_or_verification
Paper/listings/prompt_spec.py,,0bbe871ee8c6e339b07660caa94b517e04da95bf0392a00154eca803c356c57f,new_documentation_or_verification
Paper/listings/knowledge_example_inputs.json,,e0f472aa9ae98ab544e9fa8ba9746c478eaa3a2e9956cb82497137b439e4c9e7,new_documentation_or_verification
Paper/listings/knowledge_example_placement.txt,,5d873b29569df75c91795839acc4cde1787c31d72bbc4c6caa13d227cf76e001,new_documentation_or_verification
Paper/listings/knowledge_example_state.txt,,ca71837c18f02a162acd7e8775cc637bbc59f877f7a5276196e6c3c202b68e74,new_documentation_or_verification
Paper/listings/knowledge_extraction.py,,c1343e8d010e68a65e4612cdfe1cb5839d45422b7e0f172aaf186b0100bfd273,new_documentation_or_verification
Paper/listings/knowledge_serialization.py,,a3ae937503d3df3f31e3d358232910a1c3ff9557256c92b3bae34156132607d1,new_documentation_or_verification
scripts/export_implementation_appendix.py,,168aa2aa43d5e23bb2def6c01e7a1e53dc14f2efb9b91a0fd516005c8889fd8c,new_documentation_or_verification
scripts/test_implementation_spec.py,,e5c792c4d2b75c2ef6effbb9ef88755b991a96c65e812a2be79c3257cdb8c5cd,new_documentation_or_verification
scripts/verify_implementation.py,,38147744e4b4d0df1b9dc67cdf168bb6004a2dea9a9b5a21a3290c3b4bd4746a,new_documentation_or_verification
