run_id,baseline_run_id,symbolic_state_equal_to_C0,full_graph_equal_to_C0,max_node_position_distance_to_C0,position_rotation_symbolic_alignment_to_C0,max_quaternion_distance_to_C0,symbolic_state_equal_to_reference,agent_initial_position
placement_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06,placement_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06,True,True,0.0,True,0.0,True,"[-6.31994963, 1.247, 0.6973161]"
placement_task_test_task1_C0_no_precheck_gpt-4o-mini-2024-07-18,placement_task_test_task1_C0_no_precheck_gpt-4o-mini-2024-07-18,True,True,0.0,True,0.0,False,"[-3.953542, 1.247, 2.31048846]"
placement_task_test_task1_C1_llm_precheck_gpt-4o-2024-08-06,placement_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06,False,False,2.0430669166710853,False,0.8333024686090887,False,"[-4.930101, 1.247, -0.800162852]"
placement_task_test_task1_C1_llm_precheck_gpt-4o-mini-2024-07-18,placement_task_test_task1_C0_no_precheck_gpt-4o-mini-2024-07-18,False,False,3.5380815431397172,False,0.7878477319608913,False,"[-7.035282, 1.247, 0.572414935]"
placement_task_test_task1_C2_symbolic_precheck_gpt-4o-2024-08-06,placement_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06,False,False,1.8558668479930767,False,0.9098623917783344,False,"[-4.566809, 1.247, 0.08843213]"
placement_task_test_task1_C2_symbolic_precheck_gpt-4o-mini-2024-07-18,placement_task_test_task1_C0_no_precheck_gpt-4o-mini-2024-07-18,False,False,2.9792833933897502,False,0.908374937997376,False,"[-6.88541365, 1.247, 1.78109431]"
placement_task_test_task65_C0_no_precheck_gpt-4o-2024-08-06,placement_task_test_task65_C0_no_precheck_gpt-4o-2024-08-06,True,True,0.0,True,0.0,False,"[8.065774, 1.25, -4.585384]"
placement_task_test_task65_C0_no_precheck_gpt-4o-mini-2024-07-18,placement_task_test_task65_C0_no_precheck_gpt-4o-mini-2024-07-18,True,True,0.0,True,0.0,False,"[8.78535652, 1.25, -4.250419]"
placement_task_test_task65_C1_llm_precheck_gpt-4o-2024-08-06,placement_task_test_task65_C0_no_precheck_gpt-4o-2024-08-06,False,False,1.0736559087373774,False,0.4415550342779062,False,"[7.400677, 1.25, -3.74254179]"
placement_task_test_task65_C1_llm_precheck_gpt-4o-mini-2024-07-18,placement_task_test_task65_C0_no_precheck_gpt-4o-mini-2024-07-18,False,False,0.6654205957837066,False,0.5359080795257889,False,"[8.291669, 1.25, -3.80426073]"
placement_task_test_task65_C2_symbolic_precheck_gpt-4o-2024-08-06,placement_task_test_task65_C0_no_precheck_gpt-4o-2024-08-06,False,False,2.8428908485221336,False,0.8759694740639286,False,"[6.24261475, 1.25, -2.40407276]"
placement_task_test_task65_C2_symbolic_precheck_gpt-4o-mini-2024-07-18,placement_task_test_task65_C0_no_precheck_gpt-4o-mini-2024-07-18,False,False,1.4974795449739726,False,0.9901580401484457,False,"[8.091448, 1.25, -2.92341638]"
state_change_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06,state_change_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06,True,True,0.0,True,0.0,False,"[1.583633, 1.25, -7.08449745]"
state_change_task_test_task1_C0_no_precheck_gpt-4o-mini-2024-07-18,state_change_task_test_task1_C0_no_precheck_gpt-4o-mini-2024-07-18,True,True,0.0,True,0.0,False,"[4.44293356, 1.25, -6.493687]"
state_change_task_test_task1_C1_llm_precheck_gpt-4o-2024-08-06,state_change_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06,False,False,2.8163694069570764,False,0.9992545496448533,False,"[4.386044, 1.25, -6.80444527]"
state_change_task_test_task1_C1_llm_precheck_gpt-4o-mini-2024-07-18,state_change_task_test_task1_C0_no_precheck_gpt-4o-mini-2024-07-18,False,False,0.9808263505561388,False,1.3817121125554443,False,"[4.84308243, 1.25, -7.38917637]"
state_change_task_test_task1_C2_symbolic_precheck_gpt-4o-2024-08-06,state_change_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06,False,False,3.032189827373659,False,1.355276106984208,False,"[4.61579, 1.25, -7.070388]"
state_change_task_test_task1_C2_symbolic_precheck_gpt-4o-mini-2024-07-18,state_change_task_test_task1_C0_no_precheck_gpt-4o-mini-2024-07-18,False,False,0.771220660179189,False,0.9685432649227086,False,"[3.78961277, 1.25, -6.903508]"
state_change_task_test_task6_C0_no_precheck_gpt-4o-2024-08-06,state_change_task_test_task6_C0_no_precheck_gpt-4o-2024-08-06,True,True,0.0,True,0.0,False,"[-2.80361557, 1.25, -5.127404]"
state_change_task_test_task6_C0_no_precheck_gpt-4o-mini-2024-07-18,state_change_task_test_task6_C0_no_precheck_gpt-4o-mini-2024-07-18,True,True,0.0,True,0.0,False,"[-1.67072892, 1.25, -7.475101]"
state_change_task_test_task6_C1_llm_precheck_gpt-4o-2024-08-06,state_change_task_test_task6_C0_no_precheck_gpt-4o-2024-08-06,False,False,1.0272547331808106,False,1.2202862685112201,False,"[-2.87663078, 1.25, -4.10274744]"
state_change_task_test_task6_C1_llm_precheck_gpt-4o-mini-2024-07-18,state_change_task_test_task6_C0_no_precheck_gpt-4o-mini-2024-07-18,False,False,3.8805510525332543,False,0.35774686690407226,False,"[-2.60529566, 1.25, -3.70876837]"
state_change_task_test_task6_C2_symbolic_precheck_gpt-4o-2024-08-06,state_change_task_test_task6_C0_no_precheck_gpt-4o-2024-08-06,False,False,2.627152462405654,False,0.5401442067894913,False,"[-0.5255008, 1.25, -3.81892276]"
state_change_task_test_task6_C2_symbolic_precheck_gpt-4o-mini-2024-07-18,state_change_task_test_task6_C0_no_precheck_gpt-4o-mini-2024-07-18,False,False,3.6509353298700455,False,0.9981555074884864,False,"[0.6657938, 1.25, -4.66975069]"
