path,kind,sha256,bytes,head_blob,matches_head,last_commit,provenance
dataset/placement_task/example.json,existing_source,5f22e51905f3f6a907b1ff92a5da2ca6a8bc94a78bcee814c5c1125318fac74e,70791,9db99fe624b14b408b9a31303e023a64fa28bbf1,True,2761158d3c7d55d755d68f89fd1aa6cff5d3cc6a,tracked_repository_file
dataset/placement_task/test.json,existing_source,7cd51148ec9133878247f1e105cf5737f6ac7bc1e01900afe94a9d385347a43b,110069,7d43b6d99b3689aba16eaec343dca37dd486063e,True,2761158d3c7d55d755d68f89fd1aa6cff5d3cc6a,tracked_repository_file
dataset/state_change_task/example.json,existing_source,8a81f3f5db8ffce3651783418bb8ed518620341abf5405eba44c03ec7666be16,146790,845aba941a04060bc4944ae66f591735a74106d8,True,2761158d3c7d55d755d68f89fd1aa6cff5d3cc6a,tracked_repository_file
dataset/state_change_task/test.json,existing_source,9917b2db79d86dd16756fce3e4acaac2f5c1fc62107a4e82cd42186bd038e128,442550,5a5fea93ec16fc0a357705527f31ed6d80e26a52,True,2761158d3c7d55d755d68f89fd1aa6cff5d3cc6a,tracked_repository_file
result/placement_task/ablation/result_multi-prompts_gpt-4o-mini.json,historical_result,a7132363bca5bca667f6b11357e85862341cacdc6a8048fe0185d9450ed348e2,41643,6572975d0db79ff1cc5bf938ce45f019ac3b4a90,True,2761158d3c7d55d755d68f89fd1aa6cff5d3cc6a,tracked_repository_file
result/placement_task/ablation/result_multi-prompts_gpt-4o.json,historical_result,64a6e1d9c6df30450b08dbd89e85f2ff5cf9dac87efc782df0edf223f3dcd18a,49011,846c371ce306cb278304a593a6fadc6aa1c85090,True,2761158d3c7d55d755d68f89fd1aa6cff5d3cc6a,tracked_repository_file
result/placement_task/ablation/result_single-prompt_gpt-4o-mini.json,historical_result,2df23d02a3314bb54a951b2ba7ac27ce16bbb4efb356322883abd5ab6ddc3f29,43605,2ef2fdec3bde040768d0163c6f729192a30c00ac,True,2761158d3c7d55d755d68f89fd1aa6cff5d3cc6a,tracked_repository_file
result/placement_task/ablation/result_single-prompt_gpt-4o.json,historical_result,aa45a4e4c80b851358bf93a25d06600adc899b6b130a7762be3100d5d4fbf649,46871,8de3e448f22800e5601241d0ca11e15cfac202ab,True,2761158d3c7d55d755d68f89fd1aa6cff5d3cc6a,tracked_repository_file
result/placement_task/result_baseline.json,historical_result,c6b7213fe5cd4407d8add0277d693eeac59de60d2909877ad349d9eecd38605e,92179,67bda64ec4002520bef1c15d8603fbcd47754953,True,2761158d3c7d55d755d68f89fd1aa6cff5d3cc6a,tracked_repository_file
result/placement_task/result_multi-prompts_gpt-4o-mini.json,historical_result,fe5596f87e35ebf936aa0742ca2069b41ef0a496227d825e11d407aa69a6f478,43033,b2f1ec2462fba6d50198f55aaf4973fface8ae8f,True,2761158d3c7d55d755d68f89fd1aa6cff5d3cc6a,tracked_repository_file
result/placement_task/result_multi-prompts_gpt-4o.json,historical_result,6ee415e1aa7ce5c8f9b02a19f216365d3f665230f6749a49e0996137206b1b3a,50973,00ce2d6bf3656dd256f2c7a85515360abcad1a48,True,2761158d3c7d55d755d68f89fd1aa6cff5d3cc6a,tracked_repository_file
result/placement_task/result_single-prompt_gpt-4o-mini.json,historical_result,2483fb3b727345aaadc6fd6b8dfc488f969f02db175fa4d57af5c25258e2acff,46417,3225949d228f3ca5e24057c80886da92adf79f89,True,2761158d3c7d55d755d68f89fd1aa6cff5d3cc6a,tracked_repository_file
result/placement_task/result_single-prompt_gpt-4o.json,historical_result,374b84844eb0903668c8a50e795b70ff3b540af0fb1810d7cc36cfbb6589246a,50018,b96b38173ef35e89ec735cd75fd135bc4c370f88,True,2761158d3c7d55d755d68f89fd1aa6cff5d3cc6a,tracked_repository_file
result/state_change_task/ablation/ablation_multi-prompts_gpt-4o-mini.json,historical_result,4bbc75ed59ccf7eaa09f4eff6304ef76b059526ba1404e89a50f12168eabac5d,114024,8d4e2e75c24afc3470e20d075604351faa1dad9a,True,2761158d3c7d55d755d68f89fd1aa6cff5d3cc6a,tracked_repository_file
result/state_change_task/ablation/ablation_multi-prompts_gpt-4o.json,historical_result,61f760e8cec3df676ab305f46e21f41207dfbcc29bfb8b28237fba171e88302f,91043,0832ef8d74b36e8918bac97ba792b64e7cc0d41a,True,2761158d3c7d55d755d68f89fd1aa6cff5d3cc6a,tracked_repository_file
