task_type,method,prompt,model_claimed,precheck,task_id,task_name,scene,initial_room,object,operation,destination,goal_count,required_state_changes,outcome,success,reference_length,executed_length,length_difference,length_ratio,repeated_action_occurrences,zero_reference,actions
state_change_task,baseline/gpt-4o,baseline,gpt-4o,,test_task1,Turn on all lightswitches,1,livingroom,lightswitches,on,,4,0,Success,1,0,0,0,,0,True,[]
state_change_task,baseline/gpt-4o,baseline,gpt-4o,,test_task2,Turn on all lightswitches,1,bathroom,lightswitches,on,,4,1,Erroneous Terminate,0,2,0,-2,0.0,0,False,[]
state_change_task,baseline/gpt-4o,baseline,gpt-4o,,test_task3,Turn on all lightswitches,1,kitchen,lightswitches,on,,4,1,Erroneous Terminate,0,2,0,-2,0.0,0,False,[]
state_change_task,baseline/gpt-4o,baseline,gpt-4o,,test_task4,Turn on all lightswitches,1,kitchen,lightswitches,on,,4,2,Erroneous Terminate,0,4,0,-4,0.0,0,False,[]
state_change_task,baseline/gpt-4o,baseline,gpt-4o,,test_task5,Turn on all lightswitches,1,bathroom,lightswitches,on,,4,1,Erroneous Terminate,0,2,0,-2,0.0,0,False,[]
state_change_task,baseline/gpt-4o,baseline,gpt-4o,,test_task6,Turn on all lightswitches,1,kitchen,lightswitches,on,,4,2,Erroneous Terminate,0,4,0,-4,0.0,0,False,[]
state_change_task,baseline/gpt-4o,baseline,gpt-4o,,test_task7,Turn on all lightswitches,1,kitchen,lightswitches,on,,4,2,Erroneous Terminate,0,4,0,-4,0.0,0,False,[]
state_change_task,baseline/gpt-4o,baseline,gpt-4o,,test_task8,Turn on all lightswitches,1,kitchen,lightswitches,on,,4,3,Erroneous Terminate,0,6,0,-6,0.0,0,False,[]
state_change_task,baseline/gpt-4o,baseline,gpt-4o,,test_task9,Turn on all lightswitches,1,bedroom,lightswitches,on,,4,1,Erroneous Terminate,0,2,0,-2,0.0,0,False,[]
state_change_task,baseline/gpt-4o,baseline,gpt-4o,,test_task10,Turn on all lightswitches,1,bedroom,lightswitches,on,,4,2,Erroneous Terminate,0,4,0,-4,0.0,0,False,[]
state_change_task,baseline/gpt-4o,baseline,gpt-4o,,test_task11,Turn on all lightswitches,1,bedroom,lightswitches,on,,4,2,Erroneous Terminate,0,4,0,-4,0.0,0,False,[]
state_change_task,baseline/gpt-4o,baseline,gpt-4o,,test_task12,Turn on all lightswitches,1,bathroom,lightswitches,on,,4,3,Erroneous Terminate,0,6,0,-6,0.0,0,False,[]
state_change_task,baseline/gpt-4o,baseline,gpt-4o,,test_task13,Turn on all lightswitches,1,bathroom,lightswitches,on,,4,2,Erroneous Terminate,0,4,0,-4,0.0,0,False,[]
state_change_task,baseline/gpt-4o,baseline,gpt-4o,,test_task14,Turn on all lightswitches,1,bathroom,lightswitches,on,,4,3,Erroneous Terminate,0,6,0,-6,0.0,0,False,[]
state_change_task,baseline/gpt-4o,baseline,gpt-4o,,test_task15,Turn on all lightswitches,1,bathroom,lightswitches,on,,4,3,Erroneous Terminate,0,6,0,-6,0.0,0,False,[]
state_change_task,baseline/gpt-4o,baseline,gpt-4o,,test_task16,Turn on all lightswitches,1,bedroom,lightswitches,on,,4,4,Erroneous Terminate,0,8,0,-8,0.0,0,False,[]
state_change_task,baseline/gpt-4o,baseline,gpt-4o,,test_task17,Turn on all tvs,1,bathroom,tvs,on,,2,0,Success,1,0,0,0,,0,True,[]
state_change_task,baseline/gpt-4o,baseline,gpt-4o,,test_task18,Turn on all tvs,1,bedroom,tvs,on,,2,1,Erroneous Terminate,0,2,0,-2,0.0,0,False,[]
state_change_task,baseline/gpt-4o,baseline,gpt-4o,,test_task19,Turn on all tvs,1,kitchen,tvs,on,,2,1,Erroneous Terminate,0,2,0,-2,0.0,0,False,[]
state_change_task,baseline/gpt-4o,baseline,gpt-4o,,test_task20,Turn on all tvs,1,kitchen,tvs,on,,2,2,Erroneous Terminate,0,4,0,-4,0.0,0,False,[]
