task_type,method_a,method_b,common_success_n,a_executed_n,a_executed_mean,a_executed_median,a_executed_q1,a_executed_q3,a_executed_min,a_executed_max,a_executed_sd_sample,a_executed_iqr,b_executed_n,b_executed_mean,b_executed_median,b_executed_q1,b_executed_q3,b_executed_min,b_executed_max,b_executed_sd_sample,b_executed_iqr,reference_n,reference_mean,reference_median,reference_q1,reference_q3,reference_min,reference_max,reference_sd_sample,reference_iqr,a_minus_b_n,a_minus_b_mean,a_minus_b_median,a_minus_b_q1,a_minus_b_q3,a_minus_b_min,a_minus_b_max,a_minus_b_sd_sample,a_minus_b_iqr
state_change_task,baseline/gpt-4o,single-prompt/gpt-4o-mini/precheck,10,10,0,0.0,0.0,0.0,0,0,0.0,0.0,10,0,0.0,0.0,0.0,0,0,0.0,0.0,10,0,0.0,0.0,0.0,0,0,0.0,0.0,10,0,0.0,0.0,0.0,0,0,0.0,0.0
state_change_task,baseline/gpt-4o,single-prompt/gpt-4o/precheck,10,10,0,0.0,0.0,0.0,0,0,0.0,0.0,10,0,0.0,0.0,0.0,0,0,0.0,0.0,10,0,0.0,0.0,0.0,0,0,0.0,0.0,10,0,0.0,0.0,0.0,0,0,0.0,0.0
state_change_task,baseline/gpt-4o,multi-prompts/gpt-4o-mini/precheck,10,10,0,0.0,0.0,0.0,0,0,0.0,0.0,10,0,0.0,0.0,0.0,0,0,0.0,0.0,10,0,0.0,0.0,0.0,0,0,0.0,0.0,10,0,0.0,0.0,0.0,0,0,0.0,0.0
state_change_task,baseline/gpt-4o,multi-prompts/gpt-4o/precheck,10,10,0,0.0,0.0,0.0,0,0,0.0,0.0,10,0,0.0,0.0,0.0,0,0,0.0,0.0,10,0,0.0,0.0,0.0,0,0,0.0,0.0,10,0,0.0,0.0,0.0,0,0,0.0,0.0
state_change_task,baseline/gpt-4o,single-prompt/gpt-4o-mini/no-precheck,10,10,0,0.0,0.0,0.0,0,0,0.0,0.0,10,0,0.0,0.0,0.0,0,0,0.0,0.0,10,0,0.0,0.0,0.0,0,0,0.0,0.0,10,0,0.0,0.0,0.0,0,0,0.0,0.0
state_change_task,baseline/gpt-4o,single-prompt/gpt-4o/no-precheck,10,10,0,0.0,0.0,0.0,0,0,0.0,0.0,10,0,0.0,0.0,0.0,0,0,0.0,0.0,10,0,0.0,0.0,0.0,0,0,0.0,0.0,10,0,0.0,0.0,0.0,0,0,0.0,0.0
state_change_task,baseline/gpt-4o,multi-prompts/gpt-4o-mini/no-precheck,10,10,0,0.0,0.0,0.0,0,0,0.0,0.0,10,0,0.0,0.0,0.0,0,0,0.0,0.0,10,0,0.0,0.0,0.0,0,0,0.0,0.0,10,0,0.0,0.0,0.0,0,0,0.0,0.0
state_change_task,baseline/gpt-4o,multi-prompts/gpt-4o/no-precheck,10,10,0,0.0,0.0,0.0,0,0,0.0,0.0,10,0,0.0,0.0,0.0,0,0,0.0,0.0,10,0,0.0,0.0,0.0,0,0,0.0,0.0,10,0,0.0,0.0,0.0,0,0,0.0,0.0
state_change_task,single-prompt/gpt-4o-mini/precheck,single-prompt/gpt-4o/precheck,162,162,3.888888888888889,4.0,2.0,6.0,0,11,2.541579691686363,4.0,162,3.45679012345679,3.0,2.0,5.0,0,11,2.2925717622074107,3.0,162,3.6419753086419755,4.0,2.0,6.0,0,10,2.228046198520261,4.0,162,0.43209876543209874,0.0,0.0,1.0,-5,5,1.0798926977399221,1.0
state_change_task,single-prompt/gpt-4o-mini/precheck,multi-prompts/gpt-4o-mini/precheck,172,172,3.7209302325581395,4.0,2.0,6.0,0,11,2.4044362643850645,4.0,172,3.8313953488372094,4.0,2.0,6.0,0,10,2.4376559360722543,4.0,172,3.5348837209302326,4.0,2.0,4.5,0,10,2.209483411448123,2.5,172,-0.11046511627906977,0.0,0.0,0.0,-4,5,1.045461264746787,0.0
