run_id,kind,task_id,model,arm,repeat,step,graph_file,goal_index,source_in_extracted_objects,full_graph_satisfied,extracted_direct_field_satisfied,direct_field_matches_when_present,not_a_natural_language_retention_score
placement_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06_r0,placement_task,test_task1,gpt-4o-2024-08-06,C0_no_precheck,0,1,graph_0003.json.gz,0,True,False,False,True,True
placement_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06_r0,placement_task,test_task1,gpt-4o-2024-08-06,C0_no_precheck,0,1,graph_0003.json.gz,1,True,False,False,True,True
placement_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06_r0,placement_task,test_task1,gpt-4o-2024-08-06,C0_no_precheck,0,2,graph_0006.json.gz,0,True,False,False,True,True
placement_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06_r0,placement_task,test_task1,gpt-4o-2024-08-06,C0_no_precheck,0,2,graph_0006.json.gz,1,True,False,False,True,True
placement_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06_r0,placement_task,test_task1,gpt-4o-2024-08-06,C0_no_precheck,0,3,graph_0009.json.gz,0,True,False,False,True,True
placement_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06_r0,placement_task,test_task1,gpt-4o-2024-08-06,C0_no_precheck,0,3,graph_0009.json.gz,1,True,False,False,True,True
placement_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06_r0,placement_task,test_task1,gpt-4o-2024-08-06,C0_no_precheck,0,4,graph_0012.json.gz,0,True,False,False,True,True
placement_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06_r0,placement_task,test_task1,gpt-4o-2024-08-06,C0_no_precheck,0,4,graph_0012.json.gz,1,True,False,False,True,True
placement_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06_r1,placement_task,test_task1,gpt-4o-2024-08-06,C0_no_precheck,1,1,graph_0003.json.gz,0,True,False,False,True,True
placement_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06_r1,placement_task,test_task1,gpt-4o-2024-08-06,C0_no_precheck,1,1,graph_0003.json.gz,1,True,False,False,True,True
placement_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06_r1,placement_task,test_task1,gpt-4o-2024-08-06,C0_no_precheck,1,2,graph_0006.json.gz,0,True,False,False,True,True
placement_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06_r1,placement_task,test_task1,gpt-4o-2024-08-06,C0_no_precheck,1,2,graph_0006.json.gz,1,True,False,False,True,True
placement_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06_r1,placement_task,test_task1,gpt-4o-2024-08-06,C0_no_precheck,1,3,graph_0009.json.gz,0,True,False,False,True,True
placement_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06_r1,placement_task,test_task1,gpt-4o-2024-08-06,C0_no_precheck,1,3,graph_0009.json.gz,1,True,False,False,True,True
placement_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06_r1,placement_task,test_task1,gpt-4o-2024-08-06,C0_no_precheck,1,4,graph_0012.json.gz,0,True,False,False,True,True
placement_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06_r1,placement_task,test_task1,gpt-4o-2024-08-06,C0_no_precheck,1,4,graph_0012.json.gz,1,True,False,False,True,True
placement_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06_r2,placement_task,test_task1,gpt-4o-2024-08-06,C0_no_precheck,2,1,graph_0003.json.gz,0,True,False,False,True,True
