run_id,symbolic_equal,max_position_distance,max_quaternion_distance,full_graph_equal,passed
placement_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06_r0,True,0.0,0.0,True,True
placement_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06_r1,True,0.0,0.0,True,True
placement_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06_r2,True,0.0,0.0,True,True
placement_task_test_task1_C0_no_precheck_gpt-4o-mini-2024-07-18_r0,True,0.0,0.0,True,True
placement_task_test_task1_C0_no_precheck_gpt-4o-mini-2024-07-18_r1,True,0.0,0.0,True,True
placement_task_test_task1_C0_no_precheck_gpt-4o-mini-2024-07-18_r2,True,0.0,0.0,True,True
placement_task_test_task1_C1_budgeted_gpt-4o-2024-08-06_r0,True,0.0,0.0,True,True
placement_task_test_task1_C1_budgeted_gpt-4o-2024-08-06_r1,True,0.0,0.0,True,True
placement_task_test_task1_C1_budgeted_gpt-4o-2024-08-06_r2,True,0.0,0.0,True,True
placement_task_test_task1_C1_budgeted_gpt-4o-mini-2024-07-18_r0,True,0.0,0.0,True,True
placement_task_test_task1_C1_budgeted_gpt-4o-mini-2024-07-18_r1,True,0.0,0.0,True,True
placement_task_test_task1_C1_budgeted_gpt-4o-mini-2024-07-18_r2,True,0.0,0.0,True,True
placement_task_test_task1_C1_llm_precheck_gpt-4o-2024-08-06_r0,True,0.0,0.0,True,True
placement_task_test_task1_C1_llm_precheck_gpt-4o-2024-08-06_r1,True,0.0,0.0,True,True
placement_task_test_task1_C1_llm_precheck_gpt-4o-2024-08-06_r2,True,0.0,0.0,True,True
placement_task_test_task1_C1_llm_precheck_gpt-4o-mini-2024-07-18_r0,True,0.0,0.0,True,True
placement_task_test_task1_C1_llm_precheck_gpt-4o-mini-2024-07-18_r1,True,0.0,0.0,True,True
placement_task_test_task1_C1_llm_precheck_gpt-4o-mini-2024-07-18_r2,True,0.0,0.0,True,True
placement_task_test_task1_C2_symbolic_precheck_gpt-4o-2024-08-06_r0,True,0.0,0.0,True,True
placement_task_test_task1_C2_symbolic_precheck_gpt-4o-2024-08-06_r1,True,0.0,0.0,True,True
